epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,5770.97,1.34442,0.8115,1.15357,0.90756,0.83836,0.88433,0.58797,1.36648,0.75095,1.19626,0.000375337,0.000375337,0.000375337
136,5808.72,1.26578,0.68943,1.11889,0.92646,0.80675,0.87515,0.56437,1.43229,0.77112,1.21781,0.00034227,0.00034227,0.00034227
137,5846.3,1.26412,0.6889,1.11279,0.91261,0.82334,0.88505,0.57554,1.39989,0.76843,1.20409,0.000311268,0.000311268,0.000311268
138,5883.9,1.22948,0.67934,1.10278,0.91155,0.83748,0.87575,0.56927,1.41164,0.7625,1.20824,0.000282345,0.000282345,0.000282345
139,5921.51,1.24325,0.66962,1.10191,0.90992,0.82916,0.87628,0.5809,1.39763,0.75871,1.20631,0.000255513,0.000255513,0.000255513
140,5959.62,1.22811,0.67685,1.103,0.90119,0.82927,0.87793,0.58447,1.38134,0.75624,1.20106,0.000230784,0.000230784,0.000230784
141,5996.83,1.21007,0.66761,1.09493,0.91278,0.82945,0.87852,0.58548,1.37849,0.75333,1.19656,0.000208169,0.000208169,0.000208169
142,6034.79,1.18215,0.65998,1.08263,0.90721,0.83181,0.87966,0.58142,1.37328,0.75093,1.1917,0.000187678,0.000187678,0.000187678
143,6074.41,1.20983,0.6847,1.1015,0.91498,0.83837,0.87867,0.57914,1.37476,0.74704,1.19394,0.00016932,0.00016932,0.00016932
144,6113.3,1.20147,0.66514,1.10691,0.90149,0.83299,0.8783,0.57999,1.36562,0.74336,1.19408,0.000153102,0.000153102,0.000153102
145,6151.95,1.20545,0.66111,1.08571,0.91294,0.83938,0.88045,0.58409,1.36545,0.7401,1.19503,0.000139032,0.000139032,0.000139032
146,6190.71,1.17375,0.64403,1.08279,0.90392,0.83608,0.87877,0.58243,1.36214,0.74086,1.19369,0.000127117,0.000127117,0.000127117
147,6229.45,1.17529,0.65007,1.08442,0.90496,0.83924,0.87798,0.58194,1.35701,0.74024,1.19125,0.00011736,0.00011736,0.00011736
148,6268.5,1.21108,0.65719,1.09451,0.90772,0.83066,0.87788,0.58355,1.36053,0.73748,1.19077,0.000109768,0.000109768,0.000109768
149,6307.28,1.17208,0.65692,1.07558,0.90223,0.84228,0.87712,0.58311,1.35481,0.73552,1.18934,0.000104342,0.000104342,0.000104342
150,6346.14,1.17401,0.64083,1.07985,0.90996,0.84142,0.8779,0.58313,1.3538,0.73306,1.18825,0.000101086,0.000101086,0.000101086
